Dataset,#TrainingRelease,%Training,%DefectiveTraining,%DefectiveTesting,Classifier,Balancing,FeatureSelection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,No sampling,No selection,No cost sensitive,122,0,63,5,1,0.960629921,0.98200225,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,No sampling,No selection,No cost sensitive,122,3,60,5,0.976,0.960629921,0.956942882,0.905765654
BOOKKEEPER,1,61.349697,13,66.66667,IBk,No sampling,No selection,No cost sensitive,121,0,63,6,1,0.952755906,0.976377953,0.930428415
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,No sampling,No selection,Sensitive threshold,122,0,63,5,1,0.960629921,0.98200225,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,No sampling,No selection,Sensitive threshold,122,3,60,5,0.976,0.960629921,0.956942882,0.905765654
BOOKKEEPER,1,61.349697,13,66.66667,IBk,No sampling,No selection,Sensitive threshold,121,0,63,6,1,0.952755906,0.976377953,0.930428415
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,No sampling,No selection,Sensitive learning,122,0,63,5,1,0.960629921,0.980939883,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,No sampling,No selection,Sensitive learning,123,3,60,4,0.976190476,0.968503937,0.956942882,0.917216482
BOOKKEEPER,1,61.349697,13,66.66667,IBk,No sampling,No selection,Sensitive learning,121,0,63,6,1,0.952755906,0.976377953,0.930428415
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,No sampling,Best first selection,No cost sensitive,122,0,63,5,1,0.960629921,0.9800025,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,No sampling,Best first selection,No cost sensitive,122,1,62,5,0.991869919,0.960629921,0.974190726,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,IBk,No sampling,Best first selection,No cost sensitive,122,1,62,5,0.991869919,0.960629921,0.972378453,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,No sampling,Best first selection,Sensitive threshold,122,0,63,5,1,0.960629921,0.9800025,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,No sampling,Best first selection,Sensitive threshold,122,1,62,5,0.991869919,0.960629921,0.974190726,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,IBk,No sampling,Best first selection,Sensitive threshold,122,1,62,5,0.991869919,0.960629921,0.972378453,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,No sampling,Best first selection,Sensitive learning,122,0,63,5,1,0.960629921,0.980502437,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,No sampling,Best first selection,Sensitive learning,123,3,60,4,0.976190476,0.968503937,0.974190726,0.917216482
BOOKKEEPER,1,61.349697,13,66.66667,IBk,No sampling,Best first selection,Sensitive learning,122,1,62,5,0.991869919,0.960629921,0.972378453,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Oversampling,No selection,No cost sensitive,122,0,63,5,1,0.960629921,0.975753031,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Oversampling,No selection,No cost sensitive,123,3,60,4,0.976190476,0.968503937,0.957255343,0.917216482
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Oversampling,No selection,No cost sensitive,121,2,61,6,0.983739837,0.952755906,0.968253968,0.906507566
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Oversampling,No selection,Sensitive threshold,122,0,63,5,1,0.960629921,0.975753031,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Oversampling,No selection,Sensitive threshold,123,3,60,4,0.976190476,0.968503937,0.957255343,0.917216482
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Oversampling,No selection,Sensitive threshold,121,2,61,6,0.983739837,0.952755906,0.968253968,0.906507566
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Oversampling,No selection,Sensitive learning,122,0,63,5,1,0.960629921,0.981627297,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Oversampling,No selection,Sensitive learning,123,3,60,4,0.976190476,0.968503937,0.957255343,0.917216482
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Oversampling,No selection,Sensitive learning,121,2,61,6,0.983739837,0.952755906,0.968253968,0.906507566
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Oversampling,Best first selection,No cost sensitive,122,0,63,5,1,0.960629921,0.983314586,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Oversampling,Best first selection,No cost sensitive,119,2,61,8,0.983471074,0.937007874,0.97687789,0.884047358
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Oversampling,Best first selection,No cost sensitive,122,1,62,5,0.991869919,0.960629921,0.968441445,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Oversampling,Best first selection,Sensitive threshold,122,0,63,5,1,0.960629921,0.983314586,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Oversampling,Best first selection,Sensitive threshold,119,2,61,8,0.983471074,0.937007874,0.97687789,0.884047358
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Oversampling,Best first selection,Sensitive threshold,122,1,62,5,0.991869919,0.960629921,0.968441445,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Oversampling,Best first selection,Sensitive learning,122,0,63,5,1,0.960629921,0.982814648,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Oversampling,Best first selection,Sensitive learning,123,3,60,4,0.976190476,0.968503937,0.97687789,0.917216482
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Oversampling,Best first selection,Sensitive learning,122,1,62,5,0.991869919,0.960629921,0.968441445,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Undersampling,No selection,No cost sensitive,122,0,63,5,1,0.960629921,0.987314086,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Undersampling,No selection,No cost sensitive,127,22,41,0,0.852348993,1,0.964941882,0.713580924
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Undersampling,No selection,No cost sensitive,123,4,59,4,0.968503937,0.968503937,0.952505937,0.905011874
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Undersampling,No selection,Sensitive threshold,122,0,63,5,1,0.960629921,0.987314086,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Undersampling,No selection,Sensitive threshold,127,22,41,0,0.852348993,1,0.964941882,0.713580924
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Undersampling,No selection,Sensitive threshold,123,4,59,4,0.968503937,0.968503937,0.952505937,0.905011874
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Undersampling,No selection,Sensitive learning,122,0,63,5,1,0.960629921,0.983689539,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Undersampling,No selection,Sensitive learning,127,62,1,0,0.671957672,1,0.964941882,0.021106864
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Undersampling,No selection,Sensitive learning,123,4,59,4,0.968503937,0.968503937,0.952505937,0.905011874
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Undersampling,Best first selection,No cost sensitive,122,0,63,5,1,0.960629921,0.989751281,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Undersampling,Best first selection,No cost sensitive,119,2,61,8,0.983471074,0.937007874,0.972378453,0.884047358
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Undersampling,Best first selection,No cost sensitive,122,1,62,5,0.991869919,0.960629921,0.972378453,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Undersampling,Best first selection,Sensitive threshold,122,0,63,5,1,0.960629921,0.989751281,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Undersampling,Best first selection,Sensitive threshold,119,2,61,8,0.983471074,0.937007874,0.972378453,0.884047358
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Undersampling,Best first selection,Sensitive threshold,122,1,62,5,0.991869919,0.960629921,0.972378453,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Undersampling,Best first selection,Sensitive learning,122,0,63,5,1,0.960629921,0.98887639,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Undersampling,Best first selection,Sensitive learning,123,3,60,4,0.976190476,0.968503937,0.972378453,0.917216482
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Undersampling,Best first selection,Sensitive learning,122,1,62,5,0.991869919,0.960629921,0.972378453,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Smote,No selection,No cost sensitive,122,0,63,5,1,0.960629921,0.983252093,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Smote,No selection,No cost sensitive,123,2,61,4,0.984,0.968503937,0.978377703,0.929324241
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Smote,No selection,No cost sensitive,121,0,63,6,1,0.952755906,0.976377953,0.930428415
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Smote,No selection,Sensitive threshold,122,0,63,5,1,0.960629921,0.983252093,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Smote,No selection,Sensitive threshold,123,2,61,4,0.984,0.968503937,0.978377703,0.929324241
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Smote,No selection,Sensitive threshold,121,0,63,6,1,0.952755906,0.976377953,0.930428415
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Smote,No selection,Sensitive learning,122,0,63,5,1,0.960629921,0.975878015,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Smote,No selection,Sensitive learning,123,3,60,4,0.976190476,0.968503937,0.978377703,0.917216482
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Smote,No selection,Sensitive learning,121,0,63,6,1,0.952755906,0.976377953,0.930428415
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Smote,Best first selection,No cost sensitive,122,0,63,5,1,0.960629921,0.980314961,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Smote,Best first selection,No cost sensitive,122,1,62,5,0.991869919,0.960629921,0.980189976,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Smote,Best first selection,No cost sensitive,122,1,62,5,0.991869919,0.960629921,0.972378453,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Smote,Best first selection,Sensitive threshold,122,0,63,5,1,0.960629921,0.980314961,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Smote,Best first selection,Sensitive threshold,122,1,62,5,0.991869919,0.960629921,0.980189976,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Smote,Best first selection,Sensitive threshold,122,1,62,5,0.991869919,0.960629921,0.972378453,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,RandomForest,Smote,Best first selection,Sensitive learning,122,0,63,5,1,0.960629921,0.980314961,0.941796348
BOOKKEEPER,1,61.349697,13,66.66667,NaiveBayes,Smote,Best first selection,Sensitive learning,122,1,62,5,0.991869919,0.960629921,0.980189976,0.929880674
BOOKKEEPER,1,61.349697,13,66.66667,IBk,Smote,Best first selection,Sensitive learning,122,1,62,5,0.991869919,0.960629921,0.972378453,0.929880674
BOOKKEEPER,2,58.333332,33.877552,48.857143,RandomForest,No sampling,No selection,No cost sensitive,171,0,180,0,1,1,1,1
BOOKKEEPER,2,58.333332,33.877552,48.857143,NaiveBayes,No sampling,No selection,No cost sensitive,171,19,161,0,0.9,1,0.974106563,0.891966759
BOOKKEEPER,2,58.333332,33.877552,48.857143,IBk,No sampling,No selection,No cost sensitive,171,18,162,0,0.904761905,1,0.950584795,0.897637795
BOOKKEEPER,2,58.333332,33.877552,48.857143,RandomForest,No sampling,No selection,Sensitive threshold,171,0,180,0,1,1,1,1
BOOKKEEPER,2,58.333332,33.877552,48.857143,NaiveBayes,No sampling,No selection,Sensitive threshold,171,19,161,0,0.9,1,0.974106563,0.891966759
BOOKKEEPER,2,58.333332,33.877552,48.857143,IBk,No sampling,No selection,Sensitive threshold,171,18,162,0,0.904761905,1,0.950584795,0.897637795
BOOKKEEPER,2,58.333332,33.877552,48.857143,RandomForest,No sampling,No selection,Sensitive learning,171,12,168,0,0.93442623,1,1,0.931698774
BOOKKEEPER,2,58.333332,33.877552,48.857143,NaiveBayes,No sampling,No selection,Sensitive learning,171,52,128,0,0.766816143,1,0.974106563,0.705745792
BOOKKEEPER,2,58.333332,33.877552,48.857143,IBk,No sampling,No selection,Sensitive learning,171,18,162,0,0.904761905,1,0.950584795,0.897637795
BOOKKEEPER,2,58.333332,33.877552,48.857143,RandomForest,No sampling,Best first selection,No cost sensitive,171,4,176,0,0.977142857,1,1,0.977206312
BOOKKEEPER,2,58.333332,33.877552,48.857143,NaiveBayes,No sampling,Best first selection,No cost sensitive,171,0,180,0,1,1,1,1
BOOKKEEPER,2,58.333332,33.877552,48.857143,IBk,No sampling,Best first selection,No cost sensitive,171,4,176,0,0.977142857,1,0.992072775,0.977206312
BOOKKEEPER,2,58.333332,33.877552,48.857143,RandomForest,No sampling,Best first selection,Sensitive threshold,171,4,176,0,0.977142857,1,1,0.977206312
BOOKKEEPER,2,58.333332,33.877552,48.857143,NaiveBayes,No sampling,Best first selection,Sensitive threshold,171,0,180,0,1,1,1,1
BOOKKEEPER,2,58.333332,33.877552,48.857143,IBk,No sampling,Best first selection,Sensitive threshold,171,4,176,0,0.977142857,1,0.992072775,0.977206312
BOOKKEEPER,2,58.333332,33.877552,48.857143,RandomForest,No sampling,Best first selection,Sensitive learning,171,52,128,0,0.766816143,1,1,0.705745792
BOOKKEEPER,2,58.333332,33.877552,48.857143,NaiveBayes,No sampling,Best first selection,Sensitive learning,171,166,14,0,0.507418398,1,1,0.075934913
BOOKKEEPER,2,58.333332,33.877552,48.857143,IBk,No sampling,Best first selection,Sensitive learning,171,29,151,0,0.855,1,0.992072775,0.835347212
BOOKKEEPER,2,58.333332,33.877552,48.857143,RandomForest,Oversampling,No selection,No cost sensitive,171,0,180,0,1,1,1,1
BOOKKEEPER,2,58.333332,33.877552,48.857143,NaiveBayes,Oversampling,No selection,No cost sensitive,171,20,160,0,0.895287958,1,0.976315789,0.886297376
BOOKKEEPER,2,58.333332,33.877552,48.857143,IBk,Oversampling,No selection,No cost sensitive,171,21,159,0,0.890625,1,0.950211176,0.880629646
BOOKKEEPER,2,58.333332,33.877552,48.857143,RandomForest,Oversampling,No selection,Sensitive threshold,171,0,180,0,1,1,1,1
BOOKKEEPER,2,58.333332,33.877552,48.857143,NaiveBayes,Oversampling,No selection,Sensitive threshold,171,20,160,0,0.895287958,1,0.976315789,0.886297376
BOOKKEEPER,2,58.333332,33.877552,48.857143,IBk,Oversampling,No selection,Sensitive threshold,171,21,159,0,0.890625,1,0.950211176,0.880629646
BOOKKEEPER,2,58.333332,33.877552,48.857143,RandomForest,Oversampling,No selection,Sensitive learning,171,12,168,0,0.93442623,1,1,0.931698774
BOOKKEEPER,2,58.333332,33.877552,48.857143,NaiveBayes,Oversampling,No selection,Sensitive learning,171,141,39,0,0.548076923,1,0.976315789,0.212290503
BOOKKEEPER,2,58.333332,33.877552,48.857143,IBk,Oversampling,No selection,Sensitive learning,171,21,159,0,0.890625,1,0.950211176,0.880629646
BOOKKEEPER,2,58.333332,33.877552,48.857143,RandomForest,Oversampling,Best first selection,No cost sensitive,171,5,175,0,0.971590909,1,1,0.971512053
BOOKKEEPER,2,58.333332,33.877552,48.857143,NaiveBayes,Oversampling,Best first selection,No cost sensitive,171,7,173,0,0.960674157,1,0.997076023,0.960128523
BOOKKEEPER,2,58.333332,33.877552,48.857143,IBk,Oversampling,Best first selection,No cost sensitive,171,11,169,0,0.93956044,1,0.981091618,0.937381404
BOOKKEEPER,2,58.333332,33.877552,48.857143,RandomForest,Oversampling,Best first selection,Sensitive threshold,171,5,175,0,0.971590909,1,1,0.971512053
BOOKKEEPER,2,58.333332,33.877552,48.857143,NaiveBayes,Oversampling,Best first selection,Sensitive threshold,171,7,173,0,0.960674157,1,0.997076023,0.960128523
BOOKKEEPER,2,58.333332,33.877552,48.857143,IBk,Oversampling,Best first selection,Sensitive threshold,171,11,169,0,0.93956044,1,0.981091618,0.937381404
BOOKKEEPER,2,58.333332,33.877552,48.857143,RandomForest,Oversampling,Best first selection,Sensitive learning,171,8,172,0,0.955307263,1,1,0.954439252
BOOKKEEPER,2,58.333332,33.877552,48.857143,NaiveBayes,Oversampling,Best first selection,Sensitive learning,171,166,14,0,0.507418398,1,0.997076023,0.075934913
BOOKKEEPER,2,58.333332,33.877552,48.857143,IBk,Oversampling,Best first selection,Sensitive learning,171,11,169,0,0.93956044,1,0.981091618,0.937381404
BOOKKEEPER,2,58.333332,33.877552,48.857143,RandomForest,Undersampling,No selection,No cost sensitive,171,1,179,0,0.994186047,1,1,0.994299079
BOOKKEEPER,2,58.333332,33.877552,48.857143,NaiveBayes,Undersampling,No selection,No cost sensitive,171,19,161,0,0.9,1,0.973099415,0.891966759
BOOKKEEPER,2,58.333332,33.877552,48.857143,IBk,Undersampling,No selection,No cost sensitive,171,55,125,0,0.756637168,1,0.849009097,0.688905004
BOOKKEEPER,2,58.333332,33.877552,48.857143,RandomForest,Undersampling,No selection,Sensitive threshold,171,1,179,0,0.994186047,1,1,0.994299079
BOOKKEEPER,2,58.333332,33.877552,48.857143,NaiveBayes,Undersampling,No selection,Sensitive threshold,171,19,161,0,0.9,1,0.973099415,0.891966759
BOOKKEEPER,2,58.333332,33.877552,48.857143,IBk,Undersampling,No selection,Sensitive threshold,171,55,125,0,0.756637168,1,0.849009097,0.688905004
BOOKKEEPER,2,58.333332,33.877552,48.857143,RandomForest,Undersampling,No selection,Sensitive learning,171,28,152,0,0.859296482,1,1,0.841001747
BOOKKEEPER,2,58.333332,33.877552,48.857143,NaiveBayes,Undersampling,No selection,Sensitive learning,171,65,115,0,0.724576271,1,0.973131904,0.632874728
BOOKKEEPER,2,58.333332,33.877552,48.857143,IBk,Undersampling,No selection,Sensitive learning,171,55,125,0,0.756637168,1,0.849009097,0.688905004
BOOKKEEPER,2,58.333332,33.877552,48.857143,RandomForest,Undersampling,Best first selection,No cost sensitive,171,10,170,0,0.944751381,1,1,0.943065693
BOOKKEEPER,2,58.333332,33.877552,48.857143,NaiveBayes,Undersampling,Best first selection,No cost sensitive,171,139,41,0,0.551612903,1,1,0.223241152
